"Local Government Area data:
Local Government areas range in population size between 100 to 1 million people. LGAs often have varying age and other demographic profiles affecting their coverage rates. LGA population estimates are taken from the latest ABS LGA by age release. 
Note on areas with large remote and very remote populations:
The  process of geocoding addresses in very remote areas and remote areas can lead to artificially low vaccine dose count records in those areas (as addresses cannot be ‘pinpointed’ to a specific client location, and therefore LGA). For vaccine rates relevant to these areas, please consult the weekly SA4 data release from Operation COVIDShield.  SA4 data is generally of larger population regions, so undercounting of doses has less impact on overall coverage rates. 
Methodology underpinning LGA Remoteness classification: 
LGA ‘remoteness’ is calculated by a assigning a modal remoteness value for each LGA, based on where the majority of the population in each LGA live - using 2016 Census meshblock population counts. Remote and Very Remote classifications accord with the same values if using the Modified Monash Model of remoteness.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Data extracted from AIR - as at 2359hrs on 10 October 2021,,,,,
LGA 2019 Name of Residence,State of Residence,Remoteness,% Received dose 1,% Received dose 2,LGA Population
Hornsby (A),New South Wales,Major Cities of Australia,>95%,87.2%," 122,259 "
Hunters Hill (A),New South Wales,Major Cities of Australia,87.6%,79.5%," 12,189 "
Inner West (A),New South Wales,Major Cities of Australia,81.7%,73.1%," 171,244 "
Inverell (A),New South Wales,Outer Regional Australia,83.6%,57.0%," 13,454 "
Junee (A),New South Wales,Inner Regional Australia,80.1%,57.3%," 5,520 "
Kempsey (A),New South Wales,Inner Regional Australia,88.8%,58.7%," 24,440 "
Kiama (A),New South Wales,Inner Regional Australia,94.7%,78.8%," 19,363 "
Ku-ring-gai (A),New South Wales,Major Cities of Australia,>95%,89.3%," 101,869 "
Kyogle (A),New South Wales,Inner Regional Australia,82.1%,57.2%," 7,285 "
Lachlan (A),New South Wales,Outer Regional Australia,>95%,83.4%," 4,668 "
Lake Macquarie (C),New South Wales,Major Cities of Australia,95.0%,68.9%," 167,047 "
Lane Cove (A),New South Wales,Major Cities of Australia,91.3%,81.9%," 32,784 "
Leeton (A),New South Wales,Outer Regional Australia,86.6%,59.9%," 9,024 "
Lismore (C),New South Wales,Inner Regional Australia,84.8%,53.0%," 35,892 "
Lithgow (C),New South Wales,Inner Regional Australia,88.0%,70.0%," 17,865 "
Liverpool (C),New South Wales,Major Cities of Australia,91.2%,75.9%," 176,376 "
Liverpool Plains (A),New South Wales,Outer Regional Australia,87.8%,61.7%," 6,396 "
Lockhart (A),New South Wales,Outer Regional Australia,92.1%,70.8%," 2,585 "
Maitland (C),New South Wales,Major Cities of Australia,93.7%,63.3%," 66,688 "
Mid-Coast (A),New South Wales,Inner Regional Australia,91.1%,65.0%," 79,221 "
Mid-Western Regional (A),New South Wales,Inner Regional Australia,94.9%,75.1%," 19,963 "
Moree Plains (A),New South Wales,Outer Regional Australia,81.3%,60.8%," 10,216 "
Mosman (A),New South Wales,Major Cities of Australia,90.8%,82.5%," 25,604 "
Murray River (A),New South Wales,Inner Regional Australia,>95%,87.3%," 9,910 "
Murrumbidgee (A),New South Wales,Outer Regional Australia,83.6%,57.5%," 3,114 "
Muswellbrook (A),New South Wales,Inner Regional Australia,88.1%,56.5%," 12,673 "
Nambucca (A),New South Wales,Outer Regional Australia,88.5%,60.0%," 16,485 "
Narrabri (A),New South Wales,Outer Regional Australia,90.7%,68.4%," 10,213 "
Narrandera (A),New South Wales,Outer Regional Australia,89.1%,61.7%," 4,651 "
Narromine (A),New South Wales,Outer Regional Australia,94.7%,76.8%," 5,093 "
Newcastle (C),New South Wales,Major Cities of Australia,89.0%,66.5%," 137,452 "
North Sydney (A),New South Wales,Major Cities of Australia,83.9%,75.1%," 65,324 "
Northern Beaches (A),New South Wales,Major Cities of Australia,93.9%,82.0%," 221,234 "
Oberon (A),New South Wales,Inner Regional Australia,91.4%,74.2%," 4,472 "
Orange (C),New South Wales,Inner Regional Australia,>95%,79.4%," 33,170 "
Parkes (A),New South Wales,Outer Regional Australia,91.5%,72.7%," 11,785 "
Parramatta (C),New South Wales,Major Cities of Australia,92.8%,78.9%," 209,432 "
Penrith (C),New South Wales,Major Cities of Australia,92.5%,76.8%," 167,408 "
Port Macquarie-Hastings (A),New South Wales,Inner Regional Australia,94.4%,70.0%," 70,143 "
Port Stephens (A),New South Wales,Inner Regional Australia,94.9%,70.0%," 60,306 "
Queanbeyan-Palerang Regional (A),New South Wales,Major Cities of Australia,92.7%,66.3%," 48,845 "
Randwick (C),New South Wales,Major Cities of Australia,79.2%,68.4%," 133,377 "
Richmond Valley (A),New South Wales,Inner Regional Australia,83.1%,54.9%," 18,938 "
Ryde (C),New South Wales,Major Cities of Australia,89.7%,78.1%," 110,141 "
Shellharbour (C),New South Wales,Major Cities of Australia,>95%,71.9%," 58,715 "
Shoalhaven (C),New South Wales,Inner Regional Australia,>95%,73.3%," 87,725 "
Singleton (A),New South Wales,Inner Regional Australia,92.9%,60.7%," 18,334 "
Snowy Monaro Regional (A),New South Wales,Outer Regional Australia,91.6%,67.5%," 17,214 "
Snowy Valleys (A),New South Wales,Inner Regional Australia,90.0%,65.8%," 11,726 "
Strathfield (A),New South Wales,Major Cities of Australia,90.1%,75.5%," 40,017 "
Sutherland Shire (A),New South Wales,Major Cities of Australia,95.0%,83.9%," 187,018 "
Sydney (C),New South Wales,Major Cities of Australia,72.7%,63.3%," 229,059 "
Tamworth Regional (A),New South Wales,Inner Regional Australia,92.4%,65.6%," 49,648 "
Temora (A),New South Wales,Outer Regional Australia,92.1%,64.7%," 5,095 "
Tenterfield (A),New South Wales,Outer Regional Australia,81.1%,53.1%," 5,553 "
The Hills Shire (A),New South Wales,Major Cities of Australia,>95%,91.6%," 140,271 "
Tweed (A),New South Wales,Major Cities of Australia,83.2%,58.2%," 80,193 "
Upper Hunter Shire (A),New South Wales,Inner Regional Australia,>95%,76.7%," 11,302 "
Upper Lachlan Shire (A),New South Wales,Inner Regional Australia,>95%,75.4%," 6,603 "
Uralla (A),New South Wales,Outer Regional Australia,91.2%,68.4%," 4,895 "
Wagga Wagga (C),New South Wales,Inner Regional Australia,90.5%,67.2%," 51,794 "
Walcha (A),New South Wales,Outer Regional Australia,93.7%,80.6%," 2,585 "
Walgett (A),New South Wales,Remote Australia - see note and refer to SA4 data,N/A,N/A," 4,688 "
Warren (A),New South Wales,Outer Regional Australia,>95%,79.9%," 2,115 "
Warrumbungle Shire (A),New South Wales,Outer Regional Australia,90.7%,72.5%," 7,566 "
Waverley (A),New South Wales,Major Cities of Australia,84.1%,74.7%," 62,490 "
Weddin (A),New South Wales,Outer Regional Australia,>95%,77.2%," 3,030 "
Wentworth (A),New South Wales,Outer Regional Australia,85.1%,60.5%," 5,625 "
Willoughby (C),New South Wales,Major Cities of Australia,90.5%,79.4%," 65,599 "
Wingecarribee (A),New South Wales,Inner Regional Australia,>95%,77.8%," 42,191 "
Wollondilly (A),New South Wales,Inner Regional Australia,91.8%,77.0%," 41,492 "
Wollongong (C),New South Wales,Major Cities of Australia,88.7%,70.6%," 179,317 "
Woollahra (A),New South Wales,Major Cities of Australia,88.6%,81.1%," 50,326 "
Yass Valley (A),New South Wales,Inner Regional Australia,94.2%,70.2%," 13,497 "
Unincorporated NSW,New South Wales,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 801 
Alpine (S),Victoria,Inner Regional Australia,93.4%,70.4%," 10,732 "
Ararat (RC),Victoria,Inner Regional Australia,89.0%,64.1%," 9,944 "
Ballarat (C),Victoria,Inner Regional Australia,92.2%,63.5%," 88,323 "
Banyule (C),Victoria,Major Cities of Australia,89.2%,66.1%," 107,523 "
Bass Coast (S),Victoria,Inner Regional Australia,>95%,70.0%," 30,332 "
Baw Baw (S),Victoria,Inner Regional Australia,91.0%,62.7%," 42,887 "
Bayside (C),Victoria,Major Cities of Australia,92.9%,74.3%," 87,219 "
Benalla (RC),Victoria,Inner Regional Australia,>95%,69.4%," 11,824 "
Boroondara (C),Victoria,Major Cities of Australia,87.3%,68.9%," 152,935 "
Brimbank (C),Victoria,Major Cities of Australia,82.8%,50.2%," 171,362 "
Buloke (S),Victoria,Outer Regional Australia,>95%,76.4%," 5,123 "
Campaspe (S),Victoria,Inner Regional Australia,>95%,67.6%," 30,917 "
Cardinia (S),Victoria,Major Cities of Australia,89.9%,56.9%," 86,129 "
Casey (C),Victoria,Major Cities of Australia,88.9%,54.2%," 273,232 "
Central Goldfields (S),Victoria,Inner Regional Australia,91.2%,67.7%," 11,110 "
Colac-Otway (S),Victoria,Inner Regional Australia,92.5%,63.9%," 17,696 "
Corangamite (S),Victoria,Inner Regional Australia,>95%,68.9%," 13,141 "
Darebin (C),Victoria,Major Cities of Australia,76.5%,52.5%," 139,021 "
East Gippsland (S),Victoria,Outer Regional Australia,92.8%,69.3%," 39,596 "
Frankston (C),Victoria,Major Cities of Australia,85.1%,57.0%," 115,844 "
Gannawarra (S),Victoria,Outer Regional Australia,>95%,68.5%," 8,756 "
Glen Eira (C),Victoria,Major Cities of Australia,85.9%,64.1%," 128,766 "
Glenelg (S),Victoria,Outer Regional Australia,92.3%,66.5%," 16,561 "
Golden Plains (S),Victoria,Inner Regional Australia,92.7%,61.4%," 18,450 "
Greater Bendigo (C),Victoria,Inner Regional Australia,91.0%,65.0%," 95,200 "
Greater Dandenong (C),Victoria,Major Cities of Australia,84.0%,48.0%," 138,053 "
Greater Geelong (C),Victoria,Major Cities of Australia,93.7%,68.0%," 211,830 "
Greater Shepparton (C),Victoria,Inner Regional Australia,92.8%,61.0%," 52,988 "
Hepburn (S),Victoria,Inner Regional Australia,91.4%,69.3%," 13,467 "
Hindmarsh (S),Victoria,Outer Regional Australia,91.6%,64.8%," 4,723 "
Hobsons Bay (C),Victoria,Major Cities of Australia,84.1%,60.1%," 79,604 "
Horsham (RC),Victoria,Outer Regional Australia,93.2%,65.0%," 16,016 "
Hume (C),Victoria,Major Cities of Australia,86.3%,48.4%," 180,782 "
Indigo (S),Victoria,Inner Regional Australia,>95%,68.8%," 13,733 "
Kingston (C) (Vic.),Victoria,Major Cities of Australia,86.9%,62.0%," 136,655 "
Knox (C),Victoria,Major Cities of Australia,88.8%,60.7%," 135,647 "
Latrobe (C) (Vic.),Victoria,Inner Regional Australia,85.5%,55.3%," 61,811 "
Loddon (S),Victoria,Outer Regional Australia,90.7%,66.2%," 6,339 "
Macedon Ranges (S),Victoria,Inner Regional Australia,>95%,74.3%," 39,626 "
Manningham (C),Victoria,Major Cities of Australia,89.6%,63.6%," 106,558 "
Mansfield (S),Victoria,Outer Regional Australia,93.6%,66.0%," 7,567 "
Maribyrnong (C),Victoria,Major Cities of Australia,78.7%,55.8%," 79,009 "
Maroondah (C),Victoria,Major Cities of Australia,88.2%,61.6%," 96,377 "
Melbourne (C),Victoria,Major Cities of Australia,70.4%,45.7%," 168,298 "
Melton (C),Victoria,Major Cities of Australia,87.2%,52.1%," 124,611 "
Mildura (RC),Victoria,Outer Regional Australia,90.3%,54.6%," 45,044 "
Mitchell (S),Victoria,Inner Regional Australia,91.0%,57.2%," 36,387 "
Moira (S),Victoria,Inner Regional Australia,>95%,65.9%," 24,759 "
Monash (C),Victoria,Major Cities of Australia,83.7%,57.7%," 171,519 "
Moonee Valley (C),Victoria,Major Cities of Australia,84.0%,60.9%," 108,789 "
Moorabool (S),Victoria,Major Cities of Australia,93.2%,62.2%," 27,901 "
Moreland (C),Victoria,Major Cities of Australia,78.0%,53.9%," 156,305 "
Mornington Peninsula (S),Victoria,Major Cities of Australia,92.2%,68.5%," 138,719 "
Mount Alexander (S),Victoria,Inner Regional Australia,92.4%,70.4%," 16,789 "
Moyne (S),Victoria,Inner Regional Australia,94.6%,70.2%," 13,498 "
Murrindindi (S),Victoria,Inner Regional Australia,88.9%,62.6%," 12,242 "
Nillumbik (S),Victoria,Major Cities of Australia,>95%,70.7%," 52,476 "
Northern Grampians (S),Victoria,Inner Regional Australia,94.0%,67.9%," 9,646 "
Port Phillip (C),Victoria,Major Cities of Australia,76.4%,58.5%," 102,175 "
Pyrenees (S),Victoria,Inner Regional Australia,89.5%,63.1%," 6,297 "
Queenscliffe (B),Victoria,Inner Regional Australia,>95%,92.5%," 2,610 "
South Gippsland (S),Victoria,Inner Regional Australia,91.8%,66.2%," 24,475 "
Southern Grampians (S),Victoria,Inner Regional Australia,>95%,71.9%," 13,285 "
Stonnington (C),Victoria,Major Cities of Australia,79.0%,61.3%," 103,900 "
Strathbogie (S),Victoria,Inner Regional Australia,94.1%,70.0%," 9,174 "
Surf Coast (S),Victoria,Inner Regional Australia,>95%,78.7%," 26,584 "
Swan Hill (RC),Victoria,Outer Regional Australia,>95%,67.0%," 16,639 "
Towong (S),Victoria,Outer Regional Australia,93.7%,69.1%," 5,068 "
Wangaratta (RC),Victoria,Inner Regional Australia,>95%,67.6%," 23,818 "
Warrnambool (C),Victoria,Inner Regional Australia,>95%,73.5%," 28,859 "
Wellington (S),Victoria,Inner Regional Australia,89.6%,65.4%," 36,486 "
West Wimmera (S),Victoria,Outer Regional Australia,91.3%,67.3%," 3,178 "
Whitehorse (C),Victoria,Major Cities of Australia,87.2%,61.9%," 149,611 "
Whittlesea (C),Victoria,Major Cities of Australia,83.3%,49.9%," 180,925 "
Wodonga (C),Victoria,Inner Regional Australia,89.8%,63.1%," 33,295 "
Wyndham (C),Victoria,Major Cities of Australia,94.2%,58.1%," 201,181 "
Yarra (C),Victoria,Major Cities of Australia,74.0%,57.1%," 90,535 "
Yarra Ranges (S),Victoria,Major Cities of Australia,87.8%,58.0%," 129,169 "
Yarriambiack (S),Victoria,Outer Regional Australia,93.2%,71.8%," 5,517 "
Unincorporated Vic,Victoria,Outer Regional Australia,43.2%,26.2%, 768 
Aurukun (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,015 "
Balonne (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,368 "
Banana (S),Queensland,Outer Regional Australia,59.0%,41.7%," 11,003 "
Barcaldine (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,254 "
Barcoo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 230 
Blackall-Tambo (R),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,476 "
Boulia (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 336 
Brisbane (C),Queensland,Major Cities of Australia,77.3%,59.6%," 1,033,592 "
Bulloo (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 272 
Bundaberg (R),Queensland,Inner Regional Australia,70.9%,53.3%," 79,061 "
Burdekin (S),Queensland,Outer Regional Australia,66.1%,47.5%," 14,053 "
Burke (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 289 
Cairns (R),Queensland,Outer Regional Australia,70.6%,56.7%," 133,038 "
Carpentaria (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A," 1,547 "
Cassowary Coast (R),Queensland,Outer Regional Australia,65.6%,47.9%," 24,343 "
Central Highlands (R) (Qld),Queensland,Outer Regional Australia,52.7%,37.1%," 21,430 "
Charters Towers (R),Queensland,Outer Regional Australia,54.7%,37.6%," 9,384 "
Cherbourg (S),Queensland,Inner Regional Australia,30.7%,19.4%, 841 
Cloncurry (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 2,437 "
Cook (S),Queensland,Remote Australia - see note and refer to SA4 data,N/A,N/A," 3,640 "
Croydon (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 216 
Diamantina (S),Queensland,Very Remote Australia - see note and refer to SA4 data,N/A,N/A, 252 
